Category: All categories

Day,European Central Bank: (Worldwide)
2020-04-01,41
2020-04-02,37
2020-04-03,34
2020-04-04,15
2020-04-05,20
2020-04-06,42
2020-04-07,33
2020-04-08,30
2020-04-09,37
2020-04-10,26
2020-04-11,20
2020-04-12,17
2020-04-13,25
2020-04-14,40
2020-04-15,26
2020-04-16,34
2020-04-17,28
2020-04-18,18
2020-04-19,22
2020-04-20,32
2020-04-21,30
2020-04-22,48
2020-04-23,44
2020-04-24,34
2020-04-25,19
2020-04-26,23
2020-04-27,31
2020-04-28,35
2020-04-29,28
2020-04-30,81
2020-05-01,33
2020-05-02,21
2020-05-03,22
2020-05-04,38
2020-05-05,87
2020-05-06,55
2020-05-07,53
2020-05-08,49
2020-05-09,38
2020-05-10,38
2020-05-11,36
2020-05-12,35
2020-05-13,38
2020-05-14,43
2020-05-15,41
2020-05-16,21
2020-05-17,15
2020-05-18,32
2020-05-19,29
2020-05-20,28
2020-05-21,25
2020-05-22,28
2020-05-23,20
2020-05-24,18
2020-05-25,29
2020-05-26,37
2020-05-27,40
2020-05-28,37
2020-05-29,30
2020-05-30,16
2020-05-31,22
2020-06-01,23
2020-06-02,31
2020-06-03,31
2020-06-04,100
2020-06-05,47
2020-06-06,23
2020-06-07,24
2020-06-08,34
2020-06-09,32
2020-06-10,22
2020-06-11,25
2020-06-12,22
2020-06-13,11
2020-06-14,11
2020-06-15,27
2020-06-16,26
2020-06-17,24
2020-06-18,31
2020-06-19,33
2020-06-20,14
2020-06-21,18
2020-06-22,34
2020-06-23,31
2020-06-24,33
2020-06-25,31
2020-06-26,29
2020-06-27,13
2020-06-28,16
2020-06-29,26
2020-06-30,28
